adcode,name,level,parent,suffix,lng,lat,py,pyf,p1
320800,淮安,city,320000.0,市,119.113166,33.551495,huaian,ha,h
320900,盐城,city,320000.0,市,120.16263,33.348176,yancheng,yc,y
321300,宿迁,city,320000.0,市,118.275228,33.963186,suqian,sq,s
320100,南京,city,320000.0,市,118.796624,32.059344,nanjing,nj,n
321200,泰州,city,320000.0,市,119.922883,32.456692,taizhou,tz,t
320400,常州,city,320000.0,市,119.974092,31.811313,changzhou,cz,c
320200,无锡,city,320000.0,市,120.311889,31.491064,wuxi,wx,w
320500,苏州,city,320000.0,市,120.585294,31.299758,suzhou,sz,s
320300,徐州,city,320000.0,市,117.283752,34.204224,xuzhou,xz,x
321100,镇江,city,320000.0,市,119.424441,32.188141,zhenjiang,zj,z
321000,扬州,city,320000.0,市,119.412834,32.394404,yangzhou,yz,y
630200,海东,city,630000.0,市,102.41064,36.473448,haidong,hd,h
630100,西宁,city,630000.0,市,101.777795,36.616621,xining,xn,x
450700,钦州,city,450000.0,市,108.654355,21.980894,qinzhou,qz,q
451000,百色,city,450000.0,市,106.61869,23.90307,baise,bs,b
450500,北海,city,450000.0,市,109.120248,21.481305,beihai,bh,b
450200,柳州,city,450000.0,市,109.428071,24.326442,liuzhou,lz,l
450400,梧州,city,450000.0,市,111.279022,23.476733,wuzhou,wz,w
450300,桂林,city,450000.0,市,110.179752,25.235615,guilin,gl,g
451100,贺州,city,450000.0,市,111.567216,24.404182,hezhou,hz,h
451300,来宾,city,450000.0,市,109.221243,23.750105,laibin,lb,l
451200,河池,city,450000.0,市,108.085244,24.692906,hechi,hc,h
450900,玉林,city,450000.0,市,110.18097,22.654001,yulin,yl,y
450800,贵港,city,450000.0,市,109.598903,23.11182,guigang,gg,g
450100,南宁,city,450000.0,市,108.366407,22.8177,nanning,nn,n
451400,崇左,city,450000.0,市,107.364973,22.377139,chongzuo,cz,c
450600,防城港,city,450000.0,市,108.35467,21.686732,fangchenggang,fcg,f
640200,石嘴山,city,640000.0,市,106.382792,38.984632,shizuishan,szs,s
640400,固原,city,640000.0,市,106.24267,36.01628,guyuan,gy,g
640500,中卫,city,640000.0,市,105.19677,37.500185,zhongwei,zw,z
640300,吴忠,city,640000.0,市,106.198613,37.997755,wuzhong,wz,w
640100,银川,city,640000.0,市,106.230977,38.487783,yinchuan,yc,y
330900,舟山,city,330000.0,市,122.207395,29.985578,zhoushan,zs,z
330400,嘉兴,city,330000.0,市,120.755623,30.746814,jiaxing,jx,j
330200,宁波,city,330000.0,市,121.62454,29.860258,ningbo,nb,n
331000,台州,city,330000.0,市,121.42079,28.655716,taizhou,tz,t
330300,温州,city,330000.0,市,120.699279,27.993849,wenzhou,wz,w
331100,丽水,city,330000.0,市,119.923249,28.467694,lishui,ls,l
330700,金华,city,330000.0,市,119.647265,29.079195,jinhua,jh,j
330500,湖州,city,330000.0,市,120.086881,30.894178,huzhou,hz,h
330600,绍兴,city,330000.0,市,120.582886,30.051549,shaoxing,sx,s
330800,衢州,city,330000.0,市,118.859307,28.970229,quzhou,qz,q
330100,杭州,city,330000.0,市,120.210792,30.246026,hangzhou,hz,h
130200,唐山,city,130000.0,市,118.180149,39.63068,tangshan,ts,t
130300,秦皇岛,city,130000.0,市,119.52022,39.888243,qinhuangdao,qhd,q
131000,廊坊,city,130000.0,市,116.683546,39.538304,langfang,lf,l
130700,张家口,city,130000.0,市,114.885895,40.768931,zhangjiakou,zjk,z
130400,邯郸,city,130000.0,市,114.53915,36.625849,handan,hd,h
130100,石家庄,city,130000.0,市,114.514976,38.042007,shijiazhuang,sjz,s
130600,保定,city,130000.0,市,115.464523,38.874476,baoding,bd,b
130800,承德,city,130000.0,市,117.962749,40.952942,chengde,cd,c
130500,邢台,city,130000.0,市,114.49742,37.060227,xingtai,xt,x
130900,沧州,city,130000.0,市,116.838715,38.304676,cangzhou,cz,c
131100,衡水,city,130000.0,市,115.668987,37.739367,hengshui,hs,h
620200,嘉峪关,city,620000.0,市,98.2882,39.77325,jiayuguan,jyg,j
